"dataset","description","tags","n1","n2","ZC.down","ZC.up","ZC.diff","nH2O.down","nH2O.up","nH2O.diff","PS_TPPG17.down","PS_TPPG17.up","PS_TPPG17.diff","PS_LMM16.down","PS_LMM16.up","PS_LMM16.diff","nAA.down","nAA.up","nAA.diff"
TLB+16,"NSCLC / ANT",,346,1059,-0.1262,-0.1325,-0.0063,-0.7562,-0.7431,0.0131,4.7363,3.0106,-1.7258,4.8319,3.9451,-0.8868,510,364,-146
FGW+17,"adenocarcinoma / ANT",,71,1031,-0.1147,-0.1404,-0.0256,-0.7671,-0.746,0.0211,5.2333,2.4882,-2.7452,5.5493,3.6885,-1.8608,911,389,-522
LZW+17,"mitochondria-related proteins adenocarcinoma / normal",,30,30,-0.1382,-0.1478,-0.0097,-0.7786,-0.7394,0.0392,5.6667,5.1739,-0.4928,5.4286,5.1724,-0.2562,325,304,-21
SFS+17_LF,"SCC / ANT LF",,422,311,-0.1295,-0.1311,-0.0016,-0.7585,-0.7578,7e-04,4.6838,3.541,-1.1427,4.9736,4.4434,-0.5303,562.5,467,-95.5
WLC+17,"NSCLC / ANT",,20,71,-0.1307,-0.1447,-0.0141,-0.7741,-0.7181,0.056,5.0556,1.8806,-3.175,5,3,-2,346.5,437,90.5
YCC+17_SqCC.Oncogene,"SCC.Oncogene / ANT",,280,115,-0.1229,-0.1212,0.0017,-0.7643,-0.7683,-0.0041,4.082,4.1981,0.1161,4.8881,4.7217,-0.1663,562.5,403,-159.5
YCC+17_SqCC.TSG,"SCC.TSG / ANT",,207,69,-0.1114,-0.1284,-0.017,-0.7667,-0.7478,0.0188,4.3737,5.1587,0.785,5.0146,4.8382,-0.1764,552,338,-214
YCC+17_SqCC.Glycoprotein,"SCC.Glycoprotein / ANT",,64,86,-0.1285,-0.1227,0.0059,-0.795,-0.7922,0.0028,6.1053,5.6962,-0.4091,5.5469,5.3837,-0.1632,491,564,73
YCC+17_ADC.Oncogene,"ADC.Oncogene / ANT",,385,72,-0.1165,-0.1318,-0.0153,-0.7669,-0.7465,0.0203,4.3853,3.5455,-0.8398,4.9921,4.5417,-0.4505,604,457.5,-146.5
YCC+17_ADC.TSG,"ADC.TSG / ANT",,286,42,-0.1132,-0.1273,-0.0141,-0.7631,-0.7346,0.0284,4.5962,5.2632,0.6669,4.9895,5.1951,0.2056,577,387.5,-189.5
YCC+17_ADC.Glycoprotein,"ADC.Glycoprotein / ANT",,83,134,-0.1238,-0.1296,-0.0058,-0.7836,-0.8184,-0.0348,6.2432,4.4153,-1.828,5.4458,4.8647,-0.5811,655,559.5,-95.5
KPS+20_early,"ADC / adjacent normal early",,86,279,-0.1342,-0.1259,0.0083,-0.7513,-0.7375,0.0138,5.2329,3.092,-2.1409,5.0241,4.172,-0.8521,355,428,73
KPS+20_advanced,"ADC / adjacent normal advanced",,92,274,-0.1218,-0.1282,-0.0065,-0.7441,-0.7428,0.0013,4.9,2.9802,-1.9198,4.8043,4.0037,-0.8007,391,448.5,57.5
XZW+20,"ADC / non-cancerous adjacent",,603,2735,-0.1189,-0.1327,-0.0138,-0.7677,-0.7538,0.0138,5.3096,2.9878,-2.3218,5.401,4.0634,-1.3376,583,454,-129
